file_name	seed	formula_x	formula_y
2022-02-20-21-04_seed_5220.png	5220	runif(1, -1, 1) * cos(y_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * x_i
2022-02-20-21-04_seed_4589.png	4589	runif(1, -1, 1) * cos(y_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * x_i
2022-02-20-21-04_seed_2072.png	2072	runif(1, -1, 1) * cos(y_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * x_i
2022-02-20-21-05_seed_1341.png	1341	runif(1, -1, 1) * cos(y_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * y_i
2022-02-20-21-05_seed_2994.png	2994	runif(1, -1, 1) * cos(y_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * y_i
2022-02-20-21-05_seed_7278.png	7278	runif(1, -1, 1) * cos(y_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * y_i
2022-02-20-21-06_seed_9361.png	9361	runif(1, -1, 1) * cos(x_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * y_i
2022-02-20-21-06_seed_7450.png	7450	runif(1, -1, 1) * cos(x_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * y_i
2022-02-20-21-07_seed_1043.png	1043	runif(1, -1, 1) * cos(x_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * y_i
2022-02-20-21-07_seed_3383.png	3383	runif(1, -1, 1) * sin(x_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * y_i
2022-02-20-21-08_seed_4689.png	4689	runif(1, -1, 1) * sin(x_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * y_i
2022-02-20-21-08_seed_9849.png	9849	runif(1, -1, 1) * sin(x_i^3) * y_i	runif(1, -1, 1) * sin(x_i^5) * y_i
2022-02-20-21-09_seed_1813.png	1813	runif(1, -1, 1) * sin(y_i^3) * x_i	runif(1, -1, 1) * cos(x_i^5) * y_i
2022-02-20-21-09_seed_4222.png	4222	runif(1, -1, 1) * sin(y_i^3) * x_i	runif(1, -1, 1) * cos(x_i^5) * y_i
2022-02-20-21-09_seed_5184.png	5184	runif(1, -1, 1) * sin(y_i^3) * x_i	runif(1, -1, 1) * cos(x_i^5) * y_i
2022-02-20-21-10_seed_4450.png	4450	runif(1, -1, 1) * sin(y_i^3) * x_i	runif(1, -1, 1) * cos(x_i^5) * y_i^2
2022-02-20-21-11_seed_1710.png	1710	runif(1, -1, 1) * sin(y_i^3) * x_i^5	runif(1, -1, 1) * cos(x_i^5) * y_i^3
2022-02-20-21-12_seed_1149.png	1149	runif(1, -1, 1) * sin(y_i^3) * x_i^5	runif(1, -1, 1) * sin(x_i^5) * y_i^3
2022-02-20-21-13_seed_235.png	235	runif(1, -1, 1) * cos(y_i^2) * x_i^5	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^3)
2022-02-20-21-14_seed_7029.png	7029	runif(1, -1, 1) * sin(x_i^3) * cos(y_i^5)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^3)
2022-02-20-21-14_seed_8611.png	8611	runif(1, -1, 1) * sin(x_i^3) * cos(y_i^5)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^3)
2022-02-20-21-15_seed_7655.png	7655	runif(1, -1, 1) * sin(x_i^3) * cos(y_i^5)	runif(1, -1, 1) * sinh(x_i^5) * sin(y_i^3)
2022-02-20-21-16_seed_8712.png	8712	runif(1, -1, 1) * sin(x_i^3) * cos(y_i^5)	runif(1, -1, 1) * cos(x_i^5)/sin(y_i^3)
2022-02-20-21-16_seed_8721.png	8721	runif(1, -1, 1) * sin(x_i^3)/cos(y_i^5)	runif(1, -1, 1) * cos(x_i^5)/sin(y_i^3)
2022-02-20-21-18_seed_7008.png	7008	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) + (x_i * y_i)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7)
2022-02-20-21-19_seed_8422.png	8422	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) + (x_i * y_i)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) - (x_i/y_i)
2022-02-20-21-19_seed_6029.png	6029	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) + (x_i * y_i)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) - (x_i/y_i)
2022-02-20-21-20_seed_2882.png	2882	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) + (x_i * y_i)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) * (x_i/y_i)
